num,name,addr,publisher,recommend,star,price
61,朱元璋传（了解晚近中国的必读经典，独家收录吴晗亲笔后记，精心绘制10余幅朱元璋作战示意图、职官功能表）【果麦经典】,http://img3m4.ddimg.cn/7/26/28533094-1_l_3.jpg,吴晗，果麦文化 出品,100%推荐,611次,¥22.50
62,半小时漫画预防常见病（漫画式科普开创者二混子新作！稍稍改变生活习惯，轻松扫除常见病隐患。）,http://img3m3.ddimg.cn/60/13/29121603-1_l_3.jpg,2020-04-01 三秦出版社,100%推荐,571次,¥22.00
63,果麦经典：世界简史（彩色插图全注版，《时间机器》作者、科幻大师威尔斯经典之作，像小说一样好读的极简世界史。）,http://img3m6.ddimg.cn/3/8/28997796-1_l_3.jpg,陈磊.半小时漫画团队 著;读客文化 出品,100%推荐,1005次,¥32.40
64,克雷洛夫寓言（与《伊索寓言》齐名，全新翻译，全彩插图）,http://img3m8.ddimg.cn/8/33/29000078-1_l_3.jpg,2020-09-30 海南出版社,100%推荐,996次,¥34.00
65,进化（当当独家签名版）,http://img3m2.ddimg.cn/50/8/29115752-1_l_6.jpg,赫伯特・乔治・威尔斯，果麦文化 出品,100%推荐,502次,¥23.99
66,王阳明：三部曲（阳明心学国际研讨会官方推荐，与《曾国藩》一起被誉为人生精进的典范之作）,http://img3m2.ddimg.cn/23/12/28538852-1_l_5.jpg,2020-08-01 云南人民出版社,100%推荐,997次,¥34.80
67,链路营销 触发消费者购买的十大关键点,http://img3m8.ddimg.cn/42/27/28995558-1_l_3.jpg,克雷洛夫，译者：童宁，果麦文化 出品,100%推荐,987次,¥19.90
68,我喜欢简单的生活,http://img3m2.ddimg.cn/95/30/29116292-1_l_3.jpg,2020-08-01 云南人民出版社,100%推荐,496次,¥97.30
69,你的一天，我的一生（她不相信一见钟情，他决定用一生证明她是错的。）,http://img3m4.ddimg.cn/1/6/28997794-1_l_2.jpg,何涛 著 华文天下出品,100%推荐,500次,¥51.70
70,破格：强者思维与人生跃迁,http://img3m9.ddimg.cn/27/13/29116719-1_l_3.jpg,2020-09-01 江苏凤凰文艺出版社,100%推荐,499次,¥31.50
71,正版现货2020版初中7七年级上册地理书人教版课本教材教科书初一上册地理人民教育出版社RJ七年级上册地理课本 七年级地理上册,http://img3m6.ddimg.cn/34/29/1353949576-1_l_2.jpg,许葆云,100%推荐,450次,¥28.00
72,2021脱胎换骨日历（我发誓一定要完成2021年的新年计划！新年计划总打脸，只因少了这三点！跟随《2021脱胎换骨日历》，365天后，脱胎换骨！）,http://img3m5.ddimg.cn/30/35/29122365-1_l_8.jpg,2020-05-01 中国友谊出版公司,100%推荐,497次,¥24.90
73,心理科医生（全2册）壹心理重磅推荐！抖音百万大号说书哥哥盛赞推荐！首部专业描写心理科口碑力作！知名作家王路亲笔作序！,http://img3m4.ddimg.cn/23/26/29121764-1_l_6.jpg,焦玉豹,100%推荐,480次,¥51.00
74,半小时漫画中国哲学史（其实是一本严谨的极简中国哲学史！二混子新作！明明在看诸子百家掐架，看完却懂了中国哲学精华！）,http://img3m4.ddimg.cn/32/7/28999904-1_l_6.jpg,2020-08-01 人民邮电出版社,100%推荐,1010次,¥49.99
75,圣诞老人（童话故事成真，真假圣诞老人！是谁向孩子伸出了“罪恶”之手？小女孩的指控让平安夜不再平安！不要拒绝，请轻声尖叫）纤阅出品,http://img3m9.ddimg.cn/9/27/25345989-1_l_2.jpg,林清玄 等,100%推荐,15738次,¥13.80
76,易中天中华史 第二十二卷：严嵩与张居正（从嘉靖到万历，明中叶百年权斗史）,http://img3m1.ddimg.cn/14/19/28990481-1_l_12.jpg,2020-08-01 江苏凤凰文艺出版社,99.9%推荐,1224次,¥92.16
77,请停止道歉（登顶美国亚马逊、纽约时报励志排行榜30+周，让每一个女性摆脱被定义的命运，拥有不妥协的力量）,http://img3m8.ddimg.cn/98/26/28982348-1_l_14.jpg,妮可拉・尹，译者 胡绯，果麦文化 出品,99.9%推荐,561次,¥54.90
78,我的第一本高情商沟通入门,http://img3m3.ddimg.cn/67/7/29000533-1_l_3.jpg,2020-08-01 浙江文艺出版社,100%推荐,393次,¥24.90
79,果麦经典：三国演义（全二册）（易中天特别推荐。无障碍阅读，全新精校，恢复罗贯中原笔文字，全注释、毛批、军事图解、群英谱）,http://img3m7.ddimg.cn/80/5/29113307-1_l_8.jpg,白辂 著,100%推荐,426次,¥49.90
80,现代汉语词典(第7版) 商务印书馆,http://img3m2.ddimg.cn/1/34/24039082-1_l_10.jpg,2020-08-22 机械工业出版社,99.9%推荐,22345次,¥12.70
