title,link,播放量,弹幕数,上传时间,up主
救命！为什么整个b站都是蔡徐坤打篮球！【翼刀的沙雕日常】,//www.bilibili.com/video/BV18b411K7JX?from=search&seid=15619401890125345128,121.2万,1.6万,2019-04-12,第七翼刀
XCin | 欧文4欧文5 对比测评：穿上哪双打球更像蔡徐坤？！,//www.bilibili.com/video/BV1Eb411V7D7?from=search&seid=15619401890125345128,15.3万,821,2019-04-20,XCin_
【吴亦凡VS蔡徐坤】鸡你太美,//www.bilibili.com/video/BV1mb411K7JU?from=search&seid=15619401890125345128,164.1万,9157,2019-04-13,鸡鸡·夫斯基
让一只蟑螂看蔡徐坤的鸡你太美100遍会如何？,//www.bilibili.com/video/BV18b411K78T?from=search&seid=15619401890125345128,80.8万,8200,2019-04-12,好奇五先生
蔡徐坤最男人的一次，大秀肌肉。,//www.bilibili.com/video/BV1S4411G7ns?from=search&seid=15619401890125345128,9.2万,51,2019-06-18,青少年基地
【蔡徐坤】鸡太美进行曲,//www.bilibili.com/video/BV1SK411H7uu?from=search&seid=15619401890125345128,8.9万,800,2020-05-25,零三Q
手绘1000帧！加长版鸡你太美！完美还原蔡徐坤打篮球！,//www.bilibili.com/video/BV1Yb411s7L9?from=search&seid=15619401890125345128,151.5万,4565,2019-04-01,面粉社长
T台上模仿蔡徐坤打球！穿最潮的衣，做最美的鸡！,//www.bilibili.com/video/BV1Vb411K7vo?from=search&seid=15619401890125345128,70.3万,3905,2019-04-12,吃素的狮子
【吴亦凡VS蔡徐坤】绿色,//www.bilibili.com/video/BV1wb411L7af?from=search&seid=5734104710733226656,43.0万,1764,2019-04-18,鸡鸡·夫斯基
【蔡徐坤】机 机 侠 ！,//www.bilibili.com/video/BV1y4411Q79P?from=search&seid=5734104710733226656,46.7万,6282,2019-08-13,杂货铺老王
【蔡徐坤】Something Just Like This,//www.bilibili.com/video/BV1a441187SS?from=search&seid=5734104710733226656,103.4万,7093,2019-04-25,污污云
蔡徐坤竟然被做成打砖块游戏了？难度真的高！,//www.bilibili.com/video/BV1a4411h7Cp?from=search&seid=5734104710733226656,16.0万,252,2019-04-30,苦力炸
被饭圈围攻！艾热和小鬼说蔡徐坤的黑梗“打篮球”《说唱听我的》,//www.bilibili.com/video/BV13z4y1R7CK?from=search&seid=5734104710733226656,7.7万,68,2020-06-24,街头社区
蔡徐坤Jony J打篮球-鸡你太美帅气过人,//www.bilibili.com/video/BV1c541177qu?from=search&seid=5734104710733226656,168,0,2020-10-09,三门齐开
【蔡徐坤】放荡不羁电音之舞,//www.bilibili.com/video/BV1Sb411T7qz?from=search&seid=5734104710733226656,1184.7万,8.2万,2019-04-09,枪弹轨迹
力元君哲别对模仿蔡徐坤表示歉意,//www.bilibili.com/video/BV1Nb411T7Vx?from=search&seid=5734104710733226656,40.9万,208,2019-04-14,属于电子游戏的奇迹
蔡徐坤 : 错的不是我！是唱跳rap篮球！ unravel,//www.bilibili.com/video/BV1vz4y1f7WG?from=search&seid=5734104710733226656,1.0万,58,2020-08-30,名场面挖掘君
给一只鸡看蔡徐坤的鸡你太美会如何？,//www.bilibili.com/video/BV1Mb411j77R?from=search&seid=5734104710733226656,44.0万,1716,2019-04-15,好奇五先生
这可能是b站最早模仿蔡徐坤的up主,//www.bilibili.com/video/BV1Cb41117LD?from=search&seid=5734104710733226656,166.9万,1.2万,2019-02-18,宅生同学
蔡徐坤发律师函了，B站的回复我们都哭了,//www.bilibili.com/video/BV1ab411K7Wz?from=search&seid=5734104710733226656,238.6万,2957,2019-04-13,うちは貧乏人だ
什么！NBA上面居然有人学蔡徐坤打球,//www.bilibili.com/video/BV1rb411M7DD?from=search&seid=5734104710733226656,5209,0,2019-04-11,帅气小伙-
前SM媒体总监怎么看蔡徐坤向B站发律师函？在韩国会发生这种事吗？,//www.bilibili.com/video/BV1Ab411T7f1?from=search&seid=5734104710733226656,112.1万,4813,2019-04-14,real摩托叔叔
3DM总监模仿蔡徐坤打篮球，练就猪刨神功,//www.bilibili.com/video/BV1F4411v7qd?from=search&seid=5734104710733226656,5270,7,2019-05-07,煮鲶鱼不用锅
大司马和卢本伟 谁打篮球更像蔡徐坤？谁更美？,//www.bilibili.com/video/BV11b411u7vj?from=search&seid=5734104710733226656,202.3万,9458,2019-04-08,SpicyMix烫
如果周杰伦和蔡徐坤同时出道，他的歌还会红吗？路人观点倒向一边,//www.bilibili.com/video/BV1R441117jM?from=search&seid=5734104710733226656,2.4万,73,2019-09-03,我趣街访
[战斗民族蔡徐坤]  鸡太美土嗨大伊万,//www.bilibili.com/video/BV1pb411T74t?from=search&seid=5734104710733226656,141.2万,5827,2019-04-09,可靠de伏特加
有人说打篮球像蔡徐坤？打工娃当场暴怒了，连续使出必杀技,//www.bilibili.com/video/BV1BK4y1873X?from=search&seid=5734104710733226656,5544,25,2020-10-07,打工娃娃
蔡徐坤给b站发律师函，粉丝退出b站，网友：B站少4000人没影响,//www.bilibili.com/video/BV1Tb411j77k?from=search&seid=5734104710733226656,43.4万,843,2019-04-15,宁采臣゛
蔡徐坤工作室发布声明：停止与NBA所有合作，这件事上支持坤坤，网友恶搞太过分了，从此只有唱跳rap！,//www.bilibili.com/video/BV1oE411Z7HM?from=search&seid=10782667098784074033,71.1万,2322,2019-10-08,橘子树下的我们
【公开处刑】旭旭宝宝：蔡徐坤是吧？哥今天就让你知道什么叫真猛运球！,//www.bilibili.com/video/BV1ib411x7Bs?from=search&seid=10782667098784074033,81.0万,2025,2019-03-28,圆手君
当著名NBA2K油管Up主Cashnasty看到蔡徐坤打球,//www.bilibili.com/video/BV14b411G7Qj?from=search&seid=10782667098784074033,5.9万,84,2019-04-24,油管小王子Terry
【蔡徐坤】坤坤的球技没你想象的那么简单,//www.bilibili.com/video/BV1Za4y1e7bZ?from=search&seid=10782667098784074033,61,0,2020-05-27,Dark-轩尘
2K19-这可能才是蔡徐坤真正的街球水平(雾),//www.bilibili.com/video/BV1v4411K75z?from=search&seid=10782667098784074033,61.8万,964,2019-06-07,Makabe
【鬼畜说唱】In my feelings 鸡 do you love me 蔡徐坤,//www.bilibili.com/video/BV1m4411F7QV?from=search&seid=10782667098784074033,11.6万,790,2019-07-09,0GreatOcean0
【邋遢道士】御剑就别想了，剑还是能说说的。你耍剑像蔡徐坤........卧槽你不要过来！！！,//www.bilibili.com/video/BV144411h7pw?from=search&seid=10782667098784074033,8.4万,508,2019-04-26,邋遢道士
【Jony J蔡徐坤打篮球】FreeC晒进球证明自己，三上悠亚与黄明志的窒息攻防,//www.bilibili.com/video/BV1dt4y1v77D?from=search&seid=10782667098784074033,1826,0,2020-10-12,KiraraRAP
【蔡徐坤】樱桃小丸鸡,//www.bilibili.com/video/BV1Fk4y1B7Eo?from=search&seid=10782667098784074033,6.3万,330,2020-07-12,零三Q
【8848太美手机】蔡徐坤代言8848太美手机,//www.bilibili.com/video/BV1dt411A7Da?from=search&seid=10782667098784074033,10.8万,594,2019-07-27,ZB龙哥
【我不是蔡徐坤】双重律师函警告，六小龄童教你耍金箍棒！！,//www.bilibili.com/video/BV1Jb411V721?from=search&seid=10782667098784074033,111.4万,3273,2019-04-20,卑鄙的南瓜骨头
其他明星知道自己被鬼畜后VS蔡徐坤律师函警告,//www.bilibili.com/video/BV1gb411j7Uh?from=search&seid=10782667098784074033,223.0万,1.5万,2019-04-15,程情写意
给蛤蟆看蔡徐坤打篮球会怎样？自诩球技高超的蔡徐坤，竟被我家蛤蟆当作臭虫一口吞掉！后来这只母蛤蟆仿佛爱上了婀娜多姿的坤坤，每次一见到就马上扑倒一阵狂舔。,//www.bilibili.com/video/BV1jE411e7R1?from=search&seid=10782667098784074033,169.6万,0,2019-11-11,布偶猫的小丑蛙
蔡徐坤鸡你太美…滑落的背带注入灵魂。又疯了一个舞蹈区up,//www.bilibili.com/video/BV19b41137dc?from=search&seid=10782667098784074033,168.1万,1699,2019-04-22,o啊飘o
在我的世界里开蔡徐坤幸运方块！！,//www.bilibili.com/video/BV1n4411g72C?from=search&seid=10782667098784074033,4048,30,2019-06-23,沝沝DjK
幼儿版五佳扣篮：卡特式滑翔，奥尼尔式重扣，蔡徐坤式暴扣,//www.bilibili.com/video/BV1Wb411J7Lx?from=search&seid=10782667098784074033,9.2万,207,2019-03-21,一品带球侍卫
【鸡你太美】经典老番《坤之空》（蔡徐坤x悠穹）,//www.bilibili.com/video/BV1Qt411T7dH?from=search&seid=10782667098784074033,72.4万,1.2万,2019-08-04,摩托摩托托
【江户川小壹】4亿播放量！B站因为蔡徐坤向up主支付了200万元！【小壹生活杂谈】,//www.bilibili.com/video/BV1rb411j72i?from=search&seid=10782667098784074033,58.1万,2282,2019-04-16,咔嚓小壹
【微表情识人心3】ikun竟然说吴亦凡《大碗宽面》是垃圾！心理学分析蔡徐坤粉丝口吐芬芳的小嘴！,//www.bilibili.com/video/BV13b411V7xG?from=search&seid=10782667098784074033,50.5万,1.9万,2019-04-20,心灵侦探明柏辰
【你说我画】被粉丝安排画女装蔡徐坤+鬼刀同人图+自己的女装+赛博朋克2077+·····,//www.bilibili.com/video/BV1P4411w744?from=search&seid=10782667098784074033,71.5万,4173,2019-07-06,撸大师-木源
农村的鸡你太美，还原蔡徐坤打篮球！只因你太美所以吃掉你,//www.bilibili.com/video/BV1Ab411j7HE?from=search&seid=11651067164212050841,37.4万,2725,2019-04-15,白翁魏老
蔡徐坤广播体操：时代在召唤（群魔乱舞版）,//www.bilibili.com/video/BV1nb411u7xD?from=search&seid=11651067164212050841,32.7万,3304,2019-04-07,白安枕咯
【街访】蔡徐坤担任NBA春节形象大使，美国同学怎么看？,//www.bilibili.com/video/BV16b411r7PK?from=search&seid=11651067164212050841,37.7万,7748,2019-02-05,WeYoungMedia
旭旭宝宝模仿蔡徐坤打篮球！宝哥：并不是抹黑，只是偏娱乐。,//www.bilibili.com/video/BV1Bb411L72c?from=search&seid=11651067164212050841,61.6万,1684,2019-04-14,10后找人带
【ikun】蔡徐坤的粉丝，急的都叫爹了,//www.bilibili.com/video/BV1Jt411T7FS?from=search&seid=11651067164212050841,46.8万,626,2019-08-07,六合八荒君
【喵会长】萌妹魔性翻唱【鸡你太美】❤蔡徐坤打篮球名场面！,//www.bilibili.com/video/BV1Yb411M7M2?from=search&seid=11651067164212050841,51.1万,1193,2019-04-12,隔壁班的喵会长
骚猪PDD替蔡徐坤参加偶像练习生【打篮球篇】,//www.bilibili.com/video/BV1Eb41137oU?from=search&seid=11651067164212050841,55.4万,1499,2019-04-06,蒜头汪星人
知道你为什么篮球打不过蔡徐坤吗？你真的懂NBA吗？,//www.bilibili.com/video/BV1yb411e7xm?from=search&seid=11651067164212050841,58.1万,2283,2019-03-12,J某人啊
众所周知，Python是不能做鬼畜的，尤其是蔡徐坤打篮球,//www.bilibili.com/video/BV1hE41147sE?from=search&seid=11651067164212050841,18.8万,545,2020-03-04,吃核桃不吐核桃壳_
【蔡徐坤】的【鸡你太美】被我掉包了！！！,//www.bilibili.com/video/BV1gb411s7Z2?from=search&seid=11651067164212050841,38.9万,3229,2019-03-31,科学改变世界
【进击的坤坤】蔡徐坤乱入巨人后打篮球？？？？？？,//www.bilibili.com/video/BV1Yb411s7iG?from=search&seid=11651067164212050841,43.1万,2408,2019-04-01,禁·冥穹
【蔡徐坤】点击看小蔡在美国校队打篮球,//www.bilibili.com/video/BV12W411n75x?from=search&seid=11651067164212050841,102.9万,613,2018-01-30,北垣西巷
我是真的喜欢蔡徐坤啊啊啊啊！！！,//www.bilibili.com/video/BV1vb411u7Xf?from=search&seid=11651067164212050841,31.0万,3879,2019-04-08,烤鸭很好吃
给女儿看蔡徐坤打篮球反应！,//www.bilibili.com/video/BV1Fb411L7Zy?from=search&seid=11651067164212050841,52.4万,2645,2019-04-18,尼古拉大锤
仅说了一句“蔡徐坤打篮球”，就被上百人网络暴力,//www.bilibili.com/video/BV1mJ411G7qj?from=search&seid=11651067164212050841,26.5万,674,2020-01-09,秋名山老国王
当外国网友看到蔡徐坤打篮球的视频时时什么反应？,//www.bilibili.com/video/BV1db41177Tb?from=search&seid=11651067164212050841,47.0万,651,2019-03-23,时间颗粒cc
【毒液x蔡徐坤】蔡徐坤首个3D大电影预告片放出,//www.bilibili.com/video/BV1Zb411L74w?from=search&seid=11651067164212050841,43.4万,509,2019-04-15,蒜头汪星人
实力模仿蔡徐坤打篮球,//www.bilibili.com/video/BV1St411474F?from=search&seid=11651067164212050841,58.8万,138,2019-01-26,Littlehawk21
蔡徐坤打篮球视频，帅爆了！,//www.bilibili.com/video/BV13b411a7YF?from=search&seid=11651067164212050841,51.1万,260,2019-02-23,请假菌
学校篮球联赛时突然跳起了蔡徐坤的鸡你太美,//www.bilibili.com/video/BV1Zb411L7zY?from=search&seid=11651067164212050841,35.3万,1136,2019-04-15,沙瑞山
"蔡徐坤邀up打篮球,up吓尿了,摔烂了手机。",//www.bilibili.com/video/BV1N441147NE?from=search&seid=1197035901757714604,46.8万,212,2019-05-03,水に落ちる
【模仿蔡徐坤打篮球】第一次打篮球！原来这么难，我真的尽力了！,//www.bilibili.com/video/BV1Zb41147AK?from=search&seid=1197035901757714604,44.6万,1068,2019-03-25,BlueDaily蓝蓝日记
蔡徐坤粉丝团退出某站，刧遭官方打脸，网友：当自己是谁啊？？？？,//www.bilibili.com/video/BV1Hb411T7fW?from=search&seid=1197035901757714604,47.5万,1936,2019-04-14,水果沙拉加蜂蜜
【手绘110小时500帧】藤原书记VS蔡徐坤 在线性感比舞【彩色动画】,//www.bilibili.com/video/BV144411h7gg?from=search&seid=1197035901757714604,17.0万,618,2019-04-26,闪闪Tik
蔡徐坤打球的确很强...太太太难模仿他了！,//www.bilibili.com/video/BV1Kb411t75G?from=search&seid=1197035901757714604,26.8万,3102,2019-03-27,比比老师
女生也要模仿蔡徐坤打篮球,//www.bilibili.com/video/BV1Hb411J7WY?from=search&seid=1197035901757714604,33.8万,1454,2019-03-21,钱七七77
【野生冻物】用果冻还原蔡徐坤打篮球经典动作，鸡你太美~,//www.bilibili.com/video/BV19b41157zH?from=search&seid=1197035901757714604,31.4万,3377,2019-04-18,野生冻物wildpudding
我试着在毒上鉴定了我的蔡徐坤一代,//www.bilibili.com/video/BV18E411k7zK?from=search&seid=1197035901757714604,25.2万,537,2019-10-19,伊皮万
当你采访五岁小孩问他蔡徐坤打篮球帅吗？他会怎么回答,//www.bilibili.com/video/BV1xt411J7hB?from=search&seid=1197035901757714604,33.7万,212,2019-07-22,黎璃梨还白
你们天天放蔡徐坤打篮球，篮球终于忍不住报警了,//www.bilibili.com/video/BV1tb411L7R7?from=search&seid=1197035901757714604,37.7万,1311,2019-04-14,大家闺秀王钢蛋
当韩红听了蔡徐坤的[鸡你太美]，居然做出这种反应？！,//www.bilibili.com/video/BV17b411H7wW?from=search&seid=1197035901757714604,44.4万,396,2019-03-14,征服者还就那个触发
【蔡徐坤/卢本伟】有点甜（我们发律师函的样子都很像彼此）,//www.bilibili.com/video/BV1jb411T7qa?from=search&seid=1197035901757714604,21.1万,1668,2019-04-14,冷瓜总是那么智障
一分钟认识蔡徐坤,//www.bilibili.com/video/BV1v7411u7Us?from=search&seid=1197035901757714604,16.5万,434,2020-02-24,就叫帅旭吧
老外看蔡徐坤被篮球打视频 强忍笑意,//www.bilibili.com/video/BV1a4411872S?from=search&seid=1197035901757714604,35.1万,459,2019-04-25,黑玛瑙
粉丝教我如何打球像蔡徐坤？在天津大学极度羞耻的模仿过程（第一次打篮球，难哭了）,//www.bilibili.com/video/BV11b411L7T3?from=search&seid=1197035901757714604,30.0万,599,2019-04-14,-千夏chika-
【又基】沙雕台湾UP主在家里当着妈妈的面模仿蔡徐坤打篮球,//www.bilibili.com/video/BV1Xb411T72y?from=search&seid=1197035901757714604,35.4万,2245,2019-04-10,又基
ikun眼中的周杰伦，众人眼中的蔡徐坤！,//www.bilibili.com/video/BV1bt411w7fz?from=search&seid=1197035901757714604,25.6万,1.3万,2019-07-28,来自星星的老男孩
热血沸腾！体校生训练时放蔡徐坤打篮球的音乐会是什么效果,//www.bilibili.com/video/BV1L4411t7R8?from=search&seid=1197035901757714604,37.6万,288,2019-04-30,切克闹煎饼果汁
震惊，某男子在大学中模仿蔡徐坤引来围观,//www.bilibili.com/video/BV1Nb411J7YQ?from=search&seid=1197035901757714604,34.9万,697,2019-03-20,我叫林三
当哆啦a梦一家看到蔡徐坤的时候,//www.bilibili.com/video/BV13b411M7Jg?from=search&seid=1197035901757714604,34.3万,1478,2019-04-10,菖蒲的球根
【新津练习生】蔡徐坤哥哥打篮球,//www.bilibili.com/video/BV19b411J7HZ?from=search&seid=1368839286544420010,38.4万,409,2019-03-16,白冴yyy
试问看蔡徐坤打篮球 谁能不笑？专业训练的警察叔叔也不行。PR入门首秀，混剪星爷《美人鱼》,//www.bilibili.com/video/BV1bb41157Ke?from=search&seid=1368839286544420010,31.6万,863,2019-04-17,PPT练习生-水共菌
【卢本伟】蔡徐坤打篮球！鸡你太美~,//www.bilibili.com/video/BV1sb411p7nn?from=search&seid=1368839286544420010,37.7万,628,2019-04-01,胡英俊的俊
看了萧敬腾打篮球之后，就知道蔡徐坤有多“蔡”了,//www.bilibili.com/video/BV1tb41177TX?from=search&seid=1368839286544420010,39.4万,646,2019-03-23,走进汪生
漫展惊现蔡徐坤打篮球，好骚啊,//www.bilibili.com/video/BV1h4411x7wu?from=search&seid=1368839286544420010,34.3万,409,2019-05-02,浅然aileduo
2.5倍慢放蔡徐坤打球音视频：我有新发现！！！,//www.bilibili.com/video/BV18b411s75o?from=search&seid=1368839286544420010,30.5万,4560,2019-03-31,古月妹纸i
【蔡徐坤VLOG】蔡徐坤过生日,//www.bilibili.com/video/BV1Mt411F7BU?from=search&seid=1368839286544420010,20.1万,3109,2019-08-02,西尔Studio
【蔡徐坤】叽叽侠,//www.bilibili.com/video/BV1XA411q7c5?from=search&seid=1368839286544420010,6.1万,583,2020-06-07,零三Q
看蔡徐坤打篮球视频时你们的反应！中枪没？,//www.bilibili.com/video/BV1kb41147zg?from=search&seid=1368839286544420010,32.6万,863,2019-03-25,苏瑞ZXX
当蔡徐坤进入我的世界？,//www.bilibili.com/video/BV1eb411s7BL?from=search&seid=1368839286544420010,23.2万,890,2019-04-01,沃德天辣莫衰
替蔡徐坤打篮球的人找到了（误解向）,//www.bilibili.com/video/BV1Hb41147f7?from=search&seid=1368839286544420010,32.0万,286,2019-03-24,物理黄老师
女版蔡徐坤打篮球最后尴尬了【结局你一定意想不到】,//www.bilibili.com/video/BV1ub411e7HS?from=search&seid=1368839286544420010,31.7万,1348,2019-03-10,橘子君嘛
当灭霸看到蔡徐坤打篮球！,//www.bilibili.com/video/BV1A441187XX?from=search&seid=1368839286544420010,30.6万,238,2019-04-29,草翦葱Negi
当Faker看到【蔡徐坤打篮球】的视频，是什么反应？,//www.bilibili.com/video/BV1Jb411s75V?from=search&seid=1368839286544420010,34.2万,155,2019-03-31,走进汪生
【400帧-鼠标绘制+上色】完美还原蔡徐坤打篮球！,//www.bilibili.com/video/BV1Kb411M7xe?from=search&seid=1368839286544420010,25.4万,462,2019-04-10,绯夷所思
当蔡徐坤打篮球 出现在星爷少林足球跳舞的片段里,//www.bilibili.com/video/BV1bb411L7bE?from=search&seid=1368839286544420010,17.8万,804,2019-04-14,黑玛瑙
高能踩点！蔡徐坤打篮球版广播体操《时代在召唤》,//www.bilibili.com/video/BV1bb41177yU?from=search&seid=1368839286544420010,18.6万,2059,2019-03-23,不要再吃蛋糕了
【蔡徐坤，坤式篮球】听说你打球像蔡某坤？？？,//www.bilibili.com/video/BV1St411w7T9?from=search&seid=1368839286544420010,16.1万,756,2019-07-28,奥一二
当蔡徐坤在全民K歌part3,//www.bilibili.com/video/BV1tt411G7cp?from=search&seid=1368839286544420010,16.6万,1568,2019-07-16,哔哩方文山
【只狼鬼畜】你打铁的样子好像“蔡徐坤”,//www.bilibili.com/video/BV1gb411K7YT?from=search&seid=1368839286544420010,26.8万,437,2019-04-12,石竹大大
我支持！蔡徐坤给B站发律师函！,//www.bilibili.com/video/BV1db411K76q?from=search&seid=3488850813864483289,25.2万,1956,2019-04-13,闲到发慌的老丝儿
【蔡徐坤】雷军在小米发布会上看蔡徐坤打篮球？,//www.bilibili.com/video/BV1Ab411K7is?from=search&seid=3488850813864483289,29.9万,995,2019-04-12,香辣果汁儿
蔡徐坤打黑洞,//www.bilibili.com/video/BV1zb411M7pF?from=search&seid=3488850813864483289,25.1万,418,2019-04-11,soul大河马
蔡徐坤打黑洞&amp;黑洞打贴着蔡徐坤图片的篮球,//www.bilibili.com/video/BV1Eb411M7Uj?from=search&seid=3488850813864483289,28.4万,779,2019-04-10,御坂美琴゙゚゙
蔡徐坤没打篮球会怎样？！你的选择将改变他、B站、甚至世界的命运，蔡徐坤打篮球，隐形守护者。,//www.bilibili.com/video/BV1Hb411L7v7?from=search&seid=3488850813864483289,19.1万,1210,2019-04-19,针香菇
当n个蔡徐坤一起打篮球时(ಡωಡ),//www.bilibili.com/video/BV1Nb41137Hu?from=search&seid=3488850813864483289,18.3万,1638,2019-04-06,LONGBUI
在学校运动会上跳鸡你太美 蔡徐坤打篮球,//www.bilibili.com/video/BV1Eb411V76Q?from=search&seid=3488850813864483289,29.6万,150,2019-04-20,逗总呀
起诉B站是蹭热度？还是另有隐情？从人设谈是否污蔑蔡徐坤！,//www.bilibili.com/video/BV1Nb411j7Qt?from=search&seid=3488850813864483289,12.3万,6164,2019-04-15,王老Q
手绘动画化篮球巨星蔡徐坤【终极沙雕魔改完整版】背带渣男核弹光人总集,//www.bilibili.com/video/BV1rb41177VA?from=search&seid=3488850813864483289,12.6万,1065,2019-03-23,映上吹花
黑子们听好了，你们有什么资格黑蔡徐坤。,//www.bilibili.com/video/BV18b411L7Xf?from=search&seid=3488850813864483289,21.8万,1894,2019-04-14,机智的呆狗
蔡徐坤运球教学，学会了横扫美国校队。,//www.bilibili.com/video/BV1Tb411M78H?from=search&seid=3488850813864483289,18.6万,1994,2019-04-10,汤姆刘的混乱空间
大司马看蔡徐坤打篮球视频,//www.bilibili.com/video/BV1R441187yL?from=search&seid=3488850813864483289,26.7万,431,2019-04-25,子易同学呀
中国新说唱-第二波Diss开火Free C-《春丽的噩梦》：打篮球比蔡徐坤还快！,//www.bilibili.com/video/BV1b4411F7km?from=search&seid=3488850813864483289,20.7万,310,2019-07-08,街头社区
蔡徐坤打篮球时，你永远不知道下一秒会发生什么，鸡你太美~,//www.bilibili.com/video/BV1rb411T7G5?from=search&seid=3488850813864483289,26.5万,224,2019-04-09,反坦克司令部
以营销号的方式打开蔡徐坤打篮球,//www.bilibili.com/video/BV1Bp4y1e7tZ?from=search&seid=3488850813864483289,1.1万,83,2020-09-13,铁小周
理性客观评价蔡徐坤打篮球动作的难度指数,//www.bilibili.com/video/BV1jb411x7pz?from=search&seid=3488850813864483289,25.4万,914,2019-03-28,覆面Pop
【蔡徐坤律师函警告】千本函,//www.bilibili.com/video/BV1rb41157Ma?from=search&seid=3488850813864483289,12.8万,1226,2019-04-18,高三泡
【蔡徐坤   律师函警告】出函(出山),//www.bilibili.com/video/BV17b411j7ei?from=search&seid=3488850813864483289,12.6万,1269,2019-04-16,高三泡
【特效向】蔡徐坤打篮球绝杀孙笑川，并跳起了新宝岛,//www.bilibili.com/video/BV1xb411T7mn?from=search&seid=3488850813864483289,23.5万,192,2019-04-09,推背兔の
【蔡徐坤】Hop-保加利亚篮球王（重置版）,//www.bilibili.com/video/BV1bb411J7c9?from=search&seid=3488850813864483289,25.6万,440,2019-03-16,斯大林Stalin同志
【三年特效】蔡徐坤——你是篮球诗人,//www.bilibili.com/video/BV1gb41147HC?from=search&seid=10206463856313533086,16.1万,795,2019-03-29,盐水Sir
蔡徐坤一代战靴实战测评，穿上它打比赛，稳赢,//www.bilibili.com/video/BV1ub411U7he?from=search&seid=10206463856313533086,21.5万,1337,2019-02-13,伊皮万
【糖小V】鸡你太美❤️模仿蔡徐坤打篮球【只因你太美】,//www.bilibili.com/video/BV1kb41137VU?from=search&seid=10206463856313533086,19.3万,516,2019-04-22,_糖小V_
蔡徐坤打篮球不燃？那是因为没选对BGM,//www.bilibili.com/video/BV12b411g7U1?from=search&seid=10206463856313533086,20.9万,802,2019-04-05,星空Hermit
那些模仿蔡徐坤打篮球的人够了！,//www.bilibili.com/video/BV1ob411m71P?from=search&seid=10206463856313533086,26.0万,279,2019-02-13,Psychopath-雪茄
【蔡徐坤】游戏筹齐篮球之神蔡徐坤的五张卡片，直接结束比赛,//www.bilibili.com/video/BV1bE411278G?from=search&seid=10206463856313533086,12.2万,520,2019-10-22,这只熊很憨
【EMOJI】B站首发复刻蔡徐坤篮球套装,//www.bilibili.com/video/BV13b41157sv?from=search&seid=10206463856313533086,14.3万,1393,2019-04-16,EMOJI-HD
【蔡徐坤】漂移,//www.bilibili.com/video/BV1rK41157Zm?from=search&seid=10206463856313533086,3.7万,480,2020-04-25,栗圆ly
萌妹子模仿蔡徐坤打篮球，完美复制？？沙雕cos【教练，我想学打篮球！,//www.bilibili.com/video/BV1Pb411V759?from=search&seid=10206463856313533086,20.1万,481,2019-04-20,鳗鱼霏儿
笑笑西卡直播看蔡徐坤视频：学唱鸡你太美，学习篮球技术！！！,//www.bilibili.com/video/BV1Zb411p7fw?from=search&seid=10206463856313533086,23.0万,191,2019-04-03,德云色偷梗堂
米米西卡看蔡徐坤篮球表演：打不过打不过，动作比我标准,//www.bilibili.com/video/BV1Mb411b7bY?from=search&seid=10206463856313533086,23.8万,163,2019-02-28,平安德云色
【蔡徐坤】坤坤劳改记,//www.bilibili.com/video/BV1V4411g7N8?from=search&seid=10206463856313533086,15.7万,885,2019-06-23,贱多拾犷的BAY
全损音质蔡徐坤打篮球,//www.bilibili.com/video/BV1ab41137xP?from=search&seid=10206463856313533086,19.5万,372,2019-04-21,风纪委员小电视
蔡徐坤二代战靴实战，竟可以变成导弹将篮球轰下来！,//www.bilibili.com/video/BV1Bb411J7kF?from=search&seid=10206463856313533086,16.6万,301,2019-03-16,伊皮万
喷子滚远点！蔡徐坤这么努力，全民K歌居然这样对他，太过分了！！！,//www.bilibili.com/video/BV1u4411A7KC?from=search&seid=10206463856313533086,16.4万,604,2019-07-04,矜持的苍苍
打赌输了被迫模仿篮球高手蔡徐坤运球……（一米八拍出一米五的感觉）,//www.bilibili.com/video/BV1Mb41117DM?from=search&seid=10206463856313533086,24.2万,42,2019-02-17,金思恩
全家一起看蔡徐坤打篮球，会发生什么？,//www.bilibili.com/video/BV1nt411F7nx?from=search&seid=10206463856313533086,12.4万,2221,2019-08-10,吉儿一范伦婷
《补档》你跳书记舞像蔡徐坤,//www.bilibili.com/video/BV1Yb411L7jq?from=search&seid=10206463856313533086,13.7万,832,2019-04-14,kokisora
有人把蔡徐坤打篮球做成了游戏，你别说，还挺好玩的！,//www.bilibili.com/video/BV1Hb411G7fE?from=search&seid=10206463856313533086,19.0万,387,2019-04-23,AS玩家
【新浪娱乐】天呐！蔡徐坤回应了！关于打篮球那事儿！,//www.bilibili.com/video/BV1f4411t7Vx?from=search&seid=10206463856313533086,19.4万,456,2019-05-01,万象o
蔡徐坤 起飞了,//www.bilibili.com/video/BV19441147Jc?from=search&seid=356673811628948714,15.7万,403,2019-04-30,黑玛瑙
我是学习舞狮两年半的蔡徐坤！,//www.bilibili.com/video/BV15b411K7rE?from=search&seid=356673811628948714,14.6万,866,2019-04-12,数星星
【小唯萌主】比起蔡徐坤的鸡你太美~我更喜欢吴亦凡的大碗宽面~,//www.bilibili.com/video/BV1S441187co?from=search&seid=356673811628948714,16.0万,253,2019-04-26,小唯萌主-
