title,link,播放量,弹幕数,上传时间,up主
黑子可以闭嘴了，蔡徐坤真的会打球，坤坤和鹿晗篮球较量，鹿晗对不起,//www.bilibili.com/video/BV1pb411n7X5?from=search&seid=2392313048591750579,12.8万,1288,2019-03-17,LRQ灬
用柯南的方式打开蔡徐坤打篮球,//www.bilibili.com/video/BV1y4411i7rv?from=search&seid=2392313048591750579,13.0万,454,2019-05-06,呵呵哒小惷药
【脑洞】明日花看蔡徐坤打篮球：“我都想笑了”,//www.bilibili.com/video/BV1W4411875h?from=search&seid=2392313048591750579,12.4万,88,2019-04-24,KiraraRAP
卢姥爷突然复出，首播评价“蔡徐坤打篮球”,//www.bilibili.com/video/BV1ab411u7zr?from=search&seid=84923717662767485,78.0万,507,2019-04-07,blues-白开水
【用恐怖片的方式打开蔡徐坤打篮球】如果关灯之后蔡徐坤在你家里打篮球....,//www.bilibili.com/video/BV17b41137qQ?from=search&seid=84923717662767485,67.6万,2415,2019-04-06,文野菌soya
【csgo茄子】茄子名场面！结果对面比蔡徐坤还会打篮球！,//www.bilibili.com/video/BV1v4411n7d9?from=search&seid=84923717662767485,9.7万,209,2019-06-03,嘴炮大魔王哦
【火影】黑粉们蔡徐坤不仅会打球还是个火影，会结印,//www.bilibili.com/video/BV1Qb411s729?from=search&seid=84923717662767485,176.4万,4239,2019-03-27,八君怪士
手绘动画化篮球巨星蔡徐坤，姿势太风骚，up顶不住了,//www.bilibili.com/video/BV1nb411J7U3?from=search&seid=84923717662767485,64.0万,1514,2019-03-21,映上吹花
实战宝典第25课：小白也能练的10个篮球技巧，让你打球不再像蔡徐坤,//www.bilibili.com/video/BV1HJ411Y7im?from=search&seid=84923717662767485,1.5万,81,2019-12-26,篮球实战宝典
【三年特效】蔡徐坤除了打篮球，还会什么？,//www.bilibili.com/video/BV15b411T7A2?from=search&seid=84923717662767485,42.7万,2833,2019-04-14,盐水Sir
公然在大学毛概课上放蔡徐坤打篮球视频会怎样,//www.bilibili.com/video/BV14b411K79V?from=search&seid=84923717662767485,107.1万,5241,2019-04-12,从一而终の兴趣使然
Jony J与蔡徐坤一起打篮球，被突破防线了！,//www.bilibili.com/video/BV1Uk4y1C7pn?from=search&seid=84923717662767485,5.0万,16,2020-10-09,街头社区
PDD骚猪看蔡徐坤打篮球跳舞 ^_^,//www.bilibili.com/video/BV1Bb411j7Pf?from=search&seid=84923717662767485,40.9万,159,2019-04-16,糊糊大叔
【李云龙】看了蔡徐坤打篮球后，忍无可忍,//www.bilibili.com/video/BV1d4411x7q3?from=search&seid=84923717662767485,11.9万,344,2019-05-03,娱乐红鱼
你们要的模仿蔡徐坤打篮球，自闭警告,//www.bilibili.com/video/BV1j4411k7aD?from=search&seid=84923717662767485,11.4万,187,2019-08-25,糖纸我哒
吴亦凡 VS 蔡徐坤,//www.bilibili.com/video/BV1Qb411t7sz?from=search&seid=84923717662767485,175.1万,3405,2019-02-27,枪弹轨迹
这才是蔡徐坤打球的真实水平 黑子们都闭嘴！！,//www.bilibili.com/video/BV1mb411T7Cj?from=search&seid=84923717662767485,9.6万,181,2019-04-09,性感的公牛
韩国小姐姐看蔡徐坤打篮球，全程憋笑,//www.bilibili.com/video/BV1yx411f7ET?from=search&seid=84923717662767485,101.8万,3319,2019-07-11,左岸雷狂
蔡徐坤打篮球原视频,//www.bilibili.com/video/BV1kv41117ea?from=search&seid=84923717662767485,181,0,2020-09-12,asask8
当记者采访第一个唱跳rap打篮球走出考场的蔡徐坤,//www.bilibili.com/video/BV1R441137RY?from=search&seid=84923717662767485,86.2万,985,2019-06-17,珊瑚心里有朵云
蔡徐坤唱跳Rap篮球原视频,//www.bilibili.com/video/BV18K411T7Xs?from=search&seid=84923717662767485,726,0,2020-08-13,小小小小man
鸡你太美，蔡徐坤就打个鸡,//www.bilibili.com/video/BV1vb411M72g?from=search&seid=84923717662767485,210.3万,5459,2019-04-12,趋暗物质
蔡徐坤的美国校队和真正的美国校队差距有多大,//www.bilibili.com/video/BV1Yb411Y7HJ?from=search&seid=84923717662767485,26.6万,966,2019-02-20,肥罗的腹肌
蔡徐坤给b站发律师函了怎么办？吃掉他！在线画一个蔡徐坤打篮球,//www.bilibili.com/video/BV1Xb411K7cH?from=search&seid=1372807503531638000,15.7万,1318,2019-04-13,黑猫厨房
蔡徐坤打篮球上NBA，单人吊打勇士（狗头滑稽）,//www.bilibili.com/video/BV1sx411o73C?from=search&seid=1372807503531638000,13.9万,195,2019-06-24,我是宇杰吖
吴亦凡 VS 蔡徐坤【续集】,//www.bilibili.com/video/BV1pb411b7Us?from=search&seid=1372807503531638000,110.8万,2287,2019-03-01,枪弹轨迹
蔡徐坤高清无水印几你太美,//www.bilibili.com/video/BV1v4411h79F?from=search&seid=1372807503531638000,3.3万,34,2019-04-26,我在想在
艾热因为问小鬼  蔡徐坤打篮球怎么样，被骂上热搜,//www.bilibili.com/video/BV1Dk4y1z7N8?from=search&seid=1372807503531638000,15.8万,49,2020-06-24,李斯然
同样是明星，为什么只有蔡徐坤打球被黑？看看鹿晗的球技就知道了,//www.bilibili.com/video/BV13b411V75U?from=search&seid=1372807503531638000,11.8万,345,2019-04-20,毛肚f
【Excel】鸡你太美~当蔡徐坤在excel里打起了篮球,//www.bilibili.com/video/BV1Cb41147b9?from=search&seid=1372807503531638000,76.4万,1162,2019-03-25,这个橙子好酸
【三年特效】蔡徐坤除了打篮球，还会什么？（第二弹）,//www.bilibili.com/video/BV19441187NN?from=search&seid=1372807503531638000,54.1万,2412,2019-04-26,盐水Sir
【漠漠】宅舞萌妹子模仿蔡徐坤打篮球，篮球真好玩,//www.bilibili.com/video/BV1Yb41157eW?from=search&seid=1372807503531638000,62.1万,3652,2019-04-17,漠☆漠
【武器CXK】蔡徐坤打的是什么球？,//www.bilibili.com/video/BV1DT4y1g7Pr?from=search&seid=1372807503531638000,16.7万,209,2020-04-24,创价厨狂喜
【绝活】当你用游戏键位模仿蔡徐坤打篮球会发生什么？,//www.bilibili.com/video/BV1kt4y1C7c8?from=search&seid=1372807503531638000,150.5万,1644,2020-05-23,天才浪神归来
为什么蔡徐坤能当NBA新春大使？因为他是250代目火影VS卢姥爷。 蔡徐坤 打篮球,//www.bilibili.com/video/BV1hb411W7mE?from=search&seid=1372807503531638000,100.0万,2420,2019-03-30,针香菇
【公开处刑】卢姥爷VS蔡徐坤篮球实力pk,//www.bilibili.com/video/BV1eb411t7J3?from=search&seid=1372807503531638000,342.1万,2.8万,2019-02-27,猫偶少年
抖音看见北美训练时致敬蔡徐坤打球！火到美国了。,//www.bilibili.com/video/BV1mb411n7LR?from=search&seid=1372807503531638000,65.7万,481,2019-03-18,魔法师小学徒
我蔡徐坤今天揍的就是你！篮球！,//www.bilibili.com/video/BV1ZE411d7cf?from=search&seid=1372807503531638000,85.6万,1041,2019-10-14,特效小哥studio
盘点b站蔡徐坤五大鬼畜视频！有你见过的吗？,//www.bilibili.com/video/BV1H4411u72o?from=search&seid=1372807503531638000,16.2万,673,2019-06-22,持续奋斗的老囧头
蔡徐坤打篮球火到国外！海外网友如何评价蔡徐坤打篮球？有翻译,//www.bilibili.com/video/BV1vb411b7Yz?from=search&seid=1372807503531638000,322.0万,1.9万,2019-03-01,想不到下个视频的内容
