name,picture,num,star,director,introduction
素媛 / 소원 / 许愿  /  希望：为爱重生(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg,39,9.3,李濬益 Jun-ik Lee,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
鬼子来了 / Devils on the Doorstep,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,40,9.3,姜文 Wen Jiang,对敌人的仁慈，就是对自己残忍。
哈尔的移动城堡 / ハウルの動く城 / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,41,9.1,宫崎骏 Hayao Miyazaki,带着心爱的人在天空飞翔。
天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg,42,9.1,宫崎骏 Hayao Miyazaki,对天空的追逐，永不停止。 
大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,43,9.0,刘镇伟 Jeffrey Lau,旷古烁今。
罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,44,9.0,威廉·惠勒 William Wyler,爱情哪怕只有一天。
天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg,45,9.2,朱塞佩·托纳多雷 Giuseppe Tornatore,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
我不是药神 / 中国药神  /  印度药神,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,46,9.0,文牧野 Muye Wen,对我们国家而言，这样的电影多一部是一部。
闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,47,9.1,马丁·布莱斯 Martin Brest,史上最美的探戈。
辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,48,9.2,杨宇硕 Woo-seok Yang,电影的现实意义大过电影本身。
搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg,49,9.0,大卫·芬奇 David Fincher,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
教父2 / The Godfather: Part Ⅱ / 教父续集(港)  /  教父II,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,50,9.2,弗朗西斯·福特·科波拉 Francis Ford Coppola,优雅的孤独。
大闹天宫 / 大闹天宫 上下集  /  The Monkey King,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,51,9.3,万籁鸣 Laiming Wan / 唐澄 Cheng  Tang,经典之作，历久弥新。
